LayDay,zscore_SAM,center_year,penguinseq
281,-0.8101141020574487,-12,2675
282,-0.8101141020574487,-12,8027
274,-0.8101141020574487,-12,13159
282,-0.8101141020574487,-12,3990
286,-0.8101141020574487,-12,1438
284,-0.8101141020574487,-12,13061
281,-0.8101141020574487,-12,8929
281,-0.8101141020574487,-12,2646
277,-0.8101141020574487,-12,1015
279,-0.8101141020574487,-12,7948
281,-0.8101141020574487,-12,8370
281,-0.8101141020574487,-12,2414
279,-0.8101141020574487,-12,1503
282,-0.8101141020574487,-12,1517
277,-0.8101141020574487,-12,2705
278,-0.8101141020574487,-12,8507
279,-0.8101141020574487,-12,2078
283,-0.8101141020574487,-12,1482
276,-0.8101141020574487,-12,1986
273,-0.8101141020574487,-12,8646
275,-0.8101141020574487,-12,1988
279,-0.8101141020574487,-12,2704
283,-0.8101141020574487,-12,1756
275,-0.8101141020574487,-12,13157
283,-0.8101141020574487,-12,1359
280,-0.8101141020574487,-12,1760
278,-0.8101141020574487,-12,4161
283,-0.8101141020574487,-12,1828
278,-0.8101141020574487,-12,2547
283,-0.8101141020574487,-12,13119
280,-0.8101141020574487,-12,8494
280,-0.8101141020574487,-12,2005
278,-0.8101141020574487,-12,1055
277,-0.8101141020574487,-12,13094
277,-0.8101141020574487,-12,8771
275,-0.8101141020574487,-12,1417
280,-0.8101141020574487,-12,4261
280,-0.8101141020574487,-12,2558
279,-0.8101141020574487,-12,8688
279,-0.8101141020574487,-12,4238
281,-0.8101141020574487,-12,2575
283,-0.8101141020574487,-12,1910
286,-0.8101141020574487,-12,8505
277,-0.8101141020574487,-12,1416
278,-0.8101141020574487,-12,2645
276,-0.8101141020574487,-12,1930
275,-0.8101141020574487,-12,1222
278,-0.8101141020574487,-12,1759
280,-0.8101141020574487,-12,2166
276,-0.8101141020574487,-12,7888
277,-0.8101141020574487,-12,3848
280,-0.8101141020574487,-12,1896
281,-0.8101141020574487,-12,3816
274,-0.8101141020574487,-12,2647
277,-0.8101141020574487,-12,2640
275,-0.8101141020574487,-12,2069
278,-0.8101141020574487,-12,859
275,-0.8101141020574487,-12,4000
274,-0.8101141020574487,-12,4254
278,-0.8101141020574487,-12,4653
277,-0.8101141020574487,-12,1904
278,-0.8101141020574487,-12,13060
283,-0.8101141020574487,-12,1496
284,-0.8101141020574487,-12,1521
279,-0.8101141020574487,-12,3952
277,-0.8101141020574487,-12,1070
277,-0.8101141020574487,-12,1571
279,-0.8101141020574487,-12,849
277,-0.8101141020574487,-12,1907
277,-0.8101141020574487,-12,4771
281,-0.8101141020574487,-12,2024
279,-0.8101141020574487,-12,25763
280,-0.8101141020574487,-12,4219
278,-0.8101141020574487,-12,1379
274,-0.8101141020574487,-12,1420
277,-0.8101141020574487,-12,4265
280,-0.8101141020574487,-12,8738
277,-0.8101141020574487,-12,8434
283,-0.8101141020574487,-12,7808
281,-0.8101141020574487,-12,4710
277,-0.8101141020574487,-12,4591
280,-0.8101141020574487,-12,1761
272,-0.8101141020574487,-12,1079
279,-0.8101141020574487,-12,1361
277,-0.8101141020574487,-12,1192
278,-0.8101141020574487,-12,1410
280,-0.8101141020574487,-12,8731
279,-0.8101141020574487,-12,2642
277,-0.8101141020574487,-12,1505
274,-0.8101141020574487,-12,2709
275,-0.8101141020574487,-12,1987
279,-0.8101141020574487,-12,8043
284,-0.8101141020574487,-12,1901
277,-0.8101141020574487,-12,1054
275,-0.8101141020574487,-12,2711
288,-0.8101141020574487,-12,1894
281,-0.8101141020574487,-12,1925
277,-0.8101141020574487,-12,8501
276,-0.8101141020574487,-12,8481
281,-0.8101141020574487,-12,1924
272,-0.8101141020574487,-12,2418
276,-0.8101141020574487,-12,1830
277,-0.8101141020574487,-12,7932
286,-0.8101141020574487,-12,1439
277,-0.8101141020574487,-12,850
277,-0.8101141020574487,-12,1504
275,-0.8101141020574487,-12,1038
273,-0.8101141020574487,-12,1411
288,-0.8101141020574487,-12,4564
278,-0.8101141020574487,-12,2607
282,-0.8101141020574487,-12,1899
278,-0.8101141020574487,-12,2799
275,-0.8101141020574487,-12,8538
278,-0.8101141020574487,-12,1735
282,-0.8101141020574487,-12,2638
278,-0.8101141020574487,-12,1732
281,-0.8101141020574487,-12,2174
283,-0.8101141020574487,-12,8541
281,-0.8101141020574487,-12,1906
278,-0.8101141020574487,-12,1465
279,-0.8101141020574487,-12,8388
282,-0.8101141020574487,-12,4631
281,-0.8101141020574487,-12,2736
275,-0.8101141020574487,-12,2726
284,-0.8101141020574487,-12,1501
279,-0.8101141020574487,-12,4531
283,-0.8101141020574487,-12,1911
284,-0.8101141020574487,-12,1475
282,-0.8101141020574487,-12,1440
283,-0.8101141020574487,-12,4230
278,-0.8101141020574487,-12,2579
279,-0.8101141020574487,-12,8383
279,-0.8101141020574487,-12,8499
280,-0.8101141020574487,-12,4720
281,-0.8101141020574487,-12,1905
284,-0.8101141020574487,-12,1754
278,-0.8101141020574487,-12,2274
278,-0.8101141020574487,-12,2604
273,-0.8101141020574487,-12,2664
278,-0.8101141020574487,-12,2063
279,-0.8101141020574487,-12,8482
281,-0.8101141020574487,-12,8155
280,-0.8101141020574487,-12,4174
286,-0.8101141020574487,-12,8682
276,-0.8101141020574487,-12,1518
283,-0.8101141020574487,-12,4759
275,-0.8101141020574487,-12,1753
282,-0.8101141020574487,-12,4042
285,1.0172726047193401,-11,1192
275,1.0172726047193401,-11,4000
290,1.0172726047193401,-11,8682
287,1.0172726047193401,-11,13187
289,1.0172726047193401,-11,14422
281,1.0172726047193401,-11,882
285,1.0172726047193401,-11,1034
282,1.0172726047193401,-11,1907
276,1.0172726047193401,-11,1203
280,1.0172726047193401,-11,1465
281,1.0172726047193401,-11,1283
284,1.0172726047193401,-11,1925
282,1.0172726047193401,-11,1904
280,1.0172726047193401,-11,7948
281,1.0172726047193401,-11,3990
280,1.0172726047193401,-11,4265
276,1.0172726047193401,-11,972
283,1.0172726047193401,-11,8677
287,1.0172726047193401,-11,14418
285,1.0172726047193401,-11,1735
283,1.0172726047193401,-11,1505
279,1.0172726047193401,-11,8759
283,1.0172726047193401,-11,4531
281,1.0172726047193401,-11,8771
287,1.0172726047193401,-11,2274
278,1.0172726047193401,-11,2409
285,1.0172726047193401,-11,2292
276,1.0172726047193401,-11,2713
289,1.0172726047193401,-11,2414
281,1.0172726047193401,-11,1986
281,1.0172726047193401,-11,2536
291,1.0172726047193401,-11,4635
283,1.0172726047193401,-11,1022
283,1.0172726047193401,-11,7937
285,1.0172726047193401,-11,2061
287,1.0172726047193401,-11,18063
278,1.0172726047193401,-11,1410
278,1.0172726047193401,-11,7812
280,1.0172726047193401,-11,4697
281,1.0172726047193401,-11,17957
291,1.0172726047193401,-11,13152
284,1.0172726047193401,-11,1901
279,1.0172726047193401,-11,2463
285,1.0172726047193401,-11,2756
285,1.0172726047193401,-11,2532
279,1.0172726047193401,-11,1416
278,1.0172726047193401,-11,2558
282,1.0172726047193401,-11,4456
278,1.0172726047193401,-11,1055
278,1.0172726047193401,-11,2069
281,1.0172726047193401,-11,1076
281,1.0172726047193401,-11,1015
287,1.0172726047193401,-11,4586
282,1.0172726047193401,-11,2132
283,1.0172726047193401,-11,8929
285,1.0172726047193401,-11,4710
285,1.0172726047193401,-11,2134
281,1.0172726047193401,-11,1079
285,1.0172726047193401,-11,2575
289,1.0172726047193401,-11,2575
280,1.0172726047193401,-11,1432
285,1.0172726047193401,-11,1521
282,1.0172726047193401,-11,1761
284,1.0172726047193401,-11,1924
278,1.0172726047193401,-11,3829
283,1.0172726047193401,-11,4578
282,1.0172726047193401,-11,8688
282,1.0172726047193401,-11,8117
278,1.0172726047193401,-11,2598
283,1.0172726047193401,-11,1898
276,1.0172726047193401,-11,1039
282,1.0172726047193401,-11,3939
284,1.0172726047193401,-11,17965
284,1.0172726047193401,-11,13061
281,1.0172726047193401,-11,14382
285,1.0172726047193401,-11,4410
280,1.0172726047193401,-11,4653
282,1.0172726047193401,-11,1247
281,1.0172726047193401,-11,8043
281,1.0172726047193401,-11,3952
279,1.0172726047193401,-11,849
283,1.0172726047193401,-11,1517
285,1.0172726047193401,-11,1264
282,1.0172726047193401,-11,1177
281,1.0172726047193401,-11,1987
277,1.0172726047193401,-11,8646
280,1.0172726047193401,-11,4692
281,1.0172726047193401,-11,17956
282,1.0172726047193401,-11,1760
287,1.0172726047193401,-11,1475
279,1.0172726047193401,-11,2078
285,1.0172726047193401,-11,2325
285,1.0172726047193401,-11,2547
281,1.0172726047193401,-11,1994
281,1.0172726047193401,-11,1271
281,1.0172726047193401,-11,2645
281,1.0172726047193401,-11,13157
285,1.0172726047193401,-11,1437
278,1.0172726047193401,-11,13159
285,1.0172726047193401,-11,1199
291,1.0172726047193401,-11,2354
287,1.0172726047193401,-11,1910
281,1.0172726047193401,-11,2661
283,1.0172726047193401,-11,2016
283,1.0172726047193401,-11,1204
283,1.0172726047193401,-11,1026
281,1.0172726047193401,-11,2577
283,1.0172726047193401,-11,2662
285,1.0172726047193401,-11,1501
285,1.0172726047193401,-11,2481
285,1.0172726047193401,-11,1732
285,1.0172726047193401,-11,1436
282,1.0172726047193401,-11,2736
281,1.0172726047193401,-11,1896
278,1.0172726047193401,-11,2775
283,1.0172726047193401,-11,1221
285,1.0172726047193401,-11,2414
289,1.0172726047193401,-11,2675
284,1.0172726047193401,-11,14249
283,1.0172726047193401,-11,2680
280,1.0172726047193401,-11,1504
287,1.0172726047193401,-11,2166
281,1.0172726047193401,-11,1222
279,1.0172726047193401,-11,13060
285,1.0172726047193401,-11,8164
278,1.0172726047193401,-11,2604
287,1.0172726047193401,-11,1440
283,1.0172726047193401,-11,1983
284,1.0172726047193401,-11,1460
281,1.0172726047193401,-11,8383
282,1.0172726047193401,-11,1162
284,1.0172726047193401,-11,14399
280,1.0172726047193401,-11,4771
278,1.0172726047193401,-11,1379
280,1.0172726047193401,-11,13094
276,1.0172726047193401,-11,7932
285,1.0172726047193401,-11,2638
280,1.0172726047193401,-11,8434
275,1.0172726047193401,-11,1759
279,1.0172726047193401,-11,2448
287,1.0172726047193401,-11,8069
285,1.0172726047193401,-11,1265
278,1.0172726047193401,-11,1988
281,1.0172726047193401,-11,2322
281,1.0172726047193401,-11,2705
